Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 10800s
========================================================================

SUMMARY
  Anomalies detected    : 99
  Anomalies resolved    : 81
  Active at end         : 18
  Affected spots        : 95
  Quarantined at end    : 2
  Quarantine suppressed : 0
  Heartbeats suppressed : 82667
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
          54.4  ANOMALY_FLAG            spot=324 rule=R3_rapid_arrival cumulative_flags=1
         541.6  ANOMALY_FLAG            spot=120 rule=R3_rapid_arrival cumulative_flags=1
         557.4  ANOMALY_FLAG            spot=478 rule=R3_rapid_arrival cumulative_flags=1
         714.2  ANOMALY_FLAG            spot=486 rule=R3_rapid_arrival cumulative_flags=1
         783.0  ANOMALY_FLAG            spot=12 rule=R3_rapid_arrival cumulative_flags=1
         960.6  ANOMALY_FLAG            spot=161 rule=R3_rapid_arrival cumulative_flags=1
        1116.5  ANOMALY_FLAG            spot=10 rule=R3_rapid_arrival cumulative_flags=1
        1259.0  ANOMALY_FLAG            spot=351 rule=R3_rapid_arrival cumulative_flags=1
        1299.8  ANOMALY_FLAG            spot=396 rule=R3_rapid_arrival cumulative_flags=1
        1369.5  ANOMALY_FLAG            spot=14 rule=R3_rapid_arrival cumulative_flags=1
        1369.8  ANOMALY_FLAG            spot=422 rule=R3_rapid_arrival cumulative_flags=1
        1513.8  ANOMALY_FLAG            spot=115 rule=R3_rapid_arrival cumulative_flags=1
        1523.7  ANOMALY_FLAG            spot=243 rule=R3_rapid_arrival cumulative_flags=1
        1667.7  ANOMALY_FLAG            spot=437 rule=R3_rapid_arrival cumulative_flags=1
        1683.1  ANOMALY_FLAG            spot=91 rule=R3_rapid_arrival cumulative_flags=1
        1744.1  ANOMALY_RESOLVE         spot=161 rule=R3_rapid_arrival
        1766.0  ANOMALY_FLAG            spot=397 rule=R3_rapid_arrival cumulative_flags=1
        1766.8  ANOMALY_FLAG            spot=210 rule=R3_rapid_arrival cumulative_flags=1
        1791.3  ANOMALY_RESOLVE         spot=351 rule=R3_rapid_arrival
        1801.9  ANOMALY_FLAG            spot=459 rule=R3_rapid_arrival cumulative_flags=1
        1820.3  ANOMALY_RESOLVE         spot=486 rule=R3_rapid_arrival
        1866.7  ANOMALY_FLAG            spot=426 rule=R3_rapid_arrival cumulative_flags=1
        1873.6  ANOMALY_FLAG            spot=282 rule=R3_rapid_arrival cumulative_flags=1
        1959.0  ANOMALY_FLAG            spot=257 rule=R3_rapid_arrival cumulative_flags=1
        2011.1  ANOMALY_FLAG            spot=496 rule=R3_rapid_arrival cumulative_flags=1
        2014.1  ANOMALY_RESOLVE         spot=210 rule=R3_rapid_arrival
        2016.6  ANOMALY_RESOLVE         spot=243 rule=R3_rapid_arrival
        2020.6  ANOMALY_RESOLVE         spot=324 rule=R3_rapid_arrival
        2165.9  ANOMALY_FLAG            spot=427 rule=R3_rapid_arrival cumulative_flags=1
        2203.8  ANOMALY_RESOLVE         spot=459 rule=R3_rapid_arrival
        2276.5  ANOMALY_RESOLVE         spot=478 rule=R3_rapid_arrival
        2277.7  ANOMALY_RESOLVE         spot=437 rule=R3_rapid_arrival
        2350.1  ANOMALY_FLAG            spot=377 rule=R3_rapid_arrival cumulative_flags=1
        2465.6  ANOMALY_FLAG            spot=487 rule=R5_rapid_state_flip cumulative_flags=1
        2487.3  ANOMALY_RESOLVE         spot=10 rule=R3_rapid_arrival
        2503.1  ANOMALY_RESOLVE         spot=257 rule=R3_rapid_arrival
        2546.8  ANOMALY_RESOLVE         spot=396 rule=R3_rapid_arrival
        2591.9  ANOMALY_RESOLVE         spot=496 rule=R3_rapid_arrival
        2652.2  ANOMALY_FLAG            spot=227 rule=R3_rapid_arrival cumulative_flags=1
        2652.9  ANOMALY_RESOLVE         spot=427 rule=R3_rapid_arrival
        2784.3  ANOMALY_RESOLVE         spot=377 rule=R3_rapid_arrival
        2792.3  ANOMALY_RESOLVE         spot=115 rule=R3_rapid_arrival
        2908.5  ANOMALY_FLAG            spot=63 rule=R3_rapid_arrival cumulative_flags=1
        2943.6  ANOMALY_FLAG            spot=360 rule=R3_rapid_arrival cumulative_flags=1
        2997.6  ANOMALY_FLAG            spot=36 rule=R3_rapid_arrival cumulative_flags=1
        3011.6  ANOMALY_FLAG            spot=79 rule=R3_rapid_arrival cumulative_flags=1
        3197.8  ANOMALY_FLAG            spot=196 rule=R3_rapid_arrival cumulative_flags=1
        3207.0  ANOMALY_FLAG            spot=343 rule=R5_rapid_state_flip cumulative_flags=1
        3212.7  ANOMALY_RESOLVE         spot=426 rule=R3_rapid_arrival
        3302.3  ANOMALY_FLAG            spot=283 rule=R3_rapid_arrival cumulative_flags=1
        3325.7  ANOMALY_RESOLVE         spot=282 rule=R3_rapid_arrival
        3370.2  ANOMALY_FLAG            spot=173 rule=R5_rapid_state_flip cumulative_flags=1
        3385.8  ANOMALY_FLAG            spot=388 rule=R3_rapid_arrival cumulative_flags=1
