Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 1112
  Anomalies resolved    : 1071
  Active at end         : 41
  Affected spots        : 138
  Quarantined at end    : 18
  Quarantine suppressed : 30
  Heartbeats suppressed : 40448
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
         399.2  ANOMALY_FLAG            spot=320 rule=R3_rapid_arrival cumulative_flags=1
         399.2  QUARANTINE_ADD          spot=320 cumulative_flags=5 threshold=5
         537.4  ANOMALY_FLAG            spot=440 rule=R5_rapid_state_flip cumulative_flags=1
         671.5  ANOMALY_RESOLVE         spot=320 rule=R3_rapid_arrival
         681.4  ANOMALY_FLAG            spot=207 rule=R3_rapid_arrival cumulative_flags=1
         681.4  QUARANTINE_ADD          spot=207 cumulative_flags=5 threshold=5
         810.0  QUARANTINE_RELEASE      spot=320 reason=5 clean anomaly ticks
         917.6  ANOMALY_FLAG            spot=184 rule=R5_rapid_state_flip cumulative_flags=1
        1182.7  ANOMALY_FLAG            spot=404 rule=R3_rapid_arrival cumulative_flags=1
        1182.7  QUARANTINE_ADD          spot=404 cumulative_flags=5 threshold=5
        1209.2  ANOMALY_RESOLVE         spot=440 rule=R5_rapid_state_flip
        2047.7  ANOMALY_FLAG            spot=124 rule=R3_rapid_arrival cumulative_flags=1
        2047.7  QUARANTINE_ADD          spot=124 cumulative_flags=5 threshold=5
        2138.1  ANOMALY_FLAG            spot=153 rule=R5_rapid_state_flip cumulative_flags=1
        2292.6  ANOMALY_RESOLVE         spot=184 rule=R5_rapid_state_flip
        2363.7  ANOMALY_RESOLVE         spot=207 rule=R3_rapid_arrival
        2490.0  QUARANTINE_RELEASE      spot=207 reason=5 clean anomaly ticks
        2493.9  ANOMALY_FLAG            spot=114 rule=R5_rapid_state_flip cumulative_flags=1
        2713.9  ANOMALY_FLAG            spot=234 rule=R5_rapid_state_flip cumulative_flags=1
        2717.2  ANOMALY_RESOLVE         spot=234 rule=R5_rapid_state_flip
        2760.5  ANOMALY_FLAG            spot=176 rule=R4_stale_seq cumulative_flags=1
        2760.5  ANOMALY_FLAG            spot=176 rule=R5_rapid_state_flip cumulative_flags=2
        2760.5  QUARANTINE_ADD          spot=176 cumulative_flags=5 threshold=5
        2833.6  ANOMALY_FLAG            spot=176 rule=R3_rapid_arrival cumulative_flags=7
        2833.6  ANOMALY_FLAG            spot=176 rule=R4_stale_seq cumulative_flags=8
        2833.6  ANOMALY_FLAG            spot=176 rule=R5_rapid_state_flip cumulative_flags=9
        2854.1  ANOMALY_FLAG            spot=320 rule=R3_rapid_arrival cumulative_flags=1
        2854.1  QUARANTINE_ADD          spot=320 cumulative_flags=5 threshold=5
        2952.6  ANOMALY_FLAG            spot=142 rule=R4_stale_seq cumulative_flags=1
        2952.6  ANOMALY_FLAG            spot=142 rule=R5_rapid_state_flip cumulative_flags=2
        2957.7  ANOMALY_FLAG            spot=207 rule=R3_rapid_arrival cumulative_flags=1
        2957.7  QUARANTINE_ADD          spot=207 cumulative_flags=5 threshold=5
        3156.7  ANOMALY_FLAG            spot=230 rule=R4_stale_seq cumulative_flags=1
        3156.7  ANOMALY_FLAG            spot=230 rule=R5_rapid_state_flip cumulative_flags=2
        3156.7  QUARANTINE_ADD          spot=230 cumulative_flags=5 threshold=5
        3196.2  ANOMALY_RESOLVE         spot=114 rule=R5_rapid_state_flip
        3196.2  ANOMALY_FLAG            spot=114 rule=R5_rapid_state_flip cumulative_flags=2
        3200.4  ANOMALY_RESOLVE         spot=114 rule=R5_rapid_state_flip
        3227.5  ANOMALY_RESOLVE         spot=176 rule=R4_stale_seq
        3227.5  ANOMALY_RESOLVE         spot=176 rule=R5_rapid_state_flip
        3234.8  ANOMALY_FLAG            spot=152 rule=R5_rapid_state_flip cumulative_flags=1
        3290.9  ANOMALY_FLAG            spot=436 rule=R3_rapid_arrival cumulative_flags=1
        3290.9  QUARANTINE_ADD          spot=436 cumulative_flags=5 threshold=5
        3396.9  ANOMALY_FLAG            spot=214 rule=R4_stale_seq cumulative_flags=1
        3396.9  ANOMALY_FLAG            spot=214 rule=R5_rapid_state_flip cumulative_flags=2
        3396.9  QUARANTINE_ADD          spot=214 cumulative_flags=5 threshold=5
        3477.7  ANOMALY_RESOLVE         spot=152 rule=R5_rapid_state_flip
        3589.5  ANOMALY_FLAG            spot=45 rule=R4_stale_seq cumulative_flags=1
        3589.5  ANOMALY_FLAG            spot=45 rule=R5_rapid_state_flip cumulative_flags=2
        3589.5  QUARANTINE_ADD          spot=45 cumulative_flags=5 threshold=5
        3630.0  ANOMALY_FLAG            spot=11 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=14 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=18 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=260 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=273 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=279 rule=R2_silent_sensor cumulative_flags=1
        3660.5  ANOMALY_FLAG            spot=176 rule=R4_stale_seq cumulative_flags=16
        3660.5  ANOMALY_FLAG            spot=176 rule=R5_rapid_state_flip cumulative_flags=17
        3662.3  ANOMALY_RESOLVE         spot=207 rule=R3_rapid_arrival
        3668.4  ANOMALY_FLAG            spot=114 rule=R5_rapid_state_flip cumulative_flags=3
        3745.5  ANOMALY_FLAG            spot=111 rule=R3_rapid_arrival cumulative_flags=1
        3745.5  QUARANTINE_ADD          spot=111 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=11 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=14 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=18 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=260 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=273 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=279 cumulative_flags=5 threshold=5
        3810.0  QUARANTINE_RELEASE      spot=207 reason=5 clean anomaly ticks
