Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 5524
  Anomalies resolved    : 5503
  Active at end         : 21
  Affected spots        : 500
  Quarantined at end    : 13
  Quarantine suppressed : 28
  Heartbeats suppressed : 40448
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
        2717.2  ANOMALY_FLAG            spot=234 rule=R5_rapid_state_flip cumulative_flags=1
        3235.5  ANOMALY_RESOLVE         spot=234 rule=R5_rapid_state_flip
        3361.3  ANOMALY_FLAG            spot=397 rule=R5_rapid_state_flip cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=11 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=14 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=18 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=260 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=273 rule=R2_silent_sensor cumulative_flags=1
        3630.0  ANOMALY_FLAG            spot=279 rule=R2_silent_sensor cumulative_flags=1
        3750.0  QUARANTINE_ADD          spot=11 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=14 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=18 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=260 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=273 cumulative_flags=5 threshold=5
        3750.0  QUARANTINE_ADD          spot=279 cumulative_flags=5 threshold=5
        4014.0  ANOMALY_RESOLVE         spot=397 rule=R5_rapid_state_flip
        4155.6  ANOMALY_FLAG            spot=30 rule=R5_rapid_state_flip cumulative_flags=1
        4438.9  ANOMALY_FLAG            spot=292 rule=R5_rapid_state_flip cumulative_flags=1
        4507.8  ANOMALY_FLAG            spot=295 rule=R5_rapid_state_flip cumulative_flags=1
        4536.3  ANOMALY_FLAG            spot=161 rule=R5_rapid_state_flip cumulative_flags=1
        4767.1  ANOMALY_FLAG            spot=225 rule=R5_rapid_state_flip cumulative_flags=1
        5011.1  ANOMALY_RESOLVE         spot=295 rule=R5_rapid_state_flip
        5081.6  ANOMALY_FLAG            spot=303 rule=R5_rapid_state_flip cumulative_flags=1
        5240.3  ANOMALY_FLAG            spot=466 rule=R5_rapid_state_flip cumulative_flags=1
        5243.8  ANOMALY_FLAG            spot=489 rule=R5_rapid_state_flip cumulative_flags=1
        5368.7  ANOMALY_FLAG            spot=123 rule=R5_rapid_state_flip cumulative_flags=1
        5401.7  ANOMALY_FLAG            spot=263 rule=R5_rapid_state_flip cumulative_flags=1
        5451.9  ANOMALY_FLAG            spot=334 rule=R5_rapid_state_flip cumulative_flags=1
        5522.6  ANOMALY_FLAG            spot=232 rule=R5_rapid_state_flip cumulative_flags=1
        5535.4  ANOMALY_FLAG            spot=397 rule=R5_rapid_state_flip cumulative_flags=2
        5556.1  ANOMALY_FLAG            spot=84 rule=R5_rapid_state_flip cumulative_flags=1
        5567.0  ANOMALY_FLAG            spot=393 rule=R5_rapid_state_flip cumulative_flags=1
        5572.0  ANOMALY_FLAG            spot=347 rule=R5_rapid_state_flip cumulative_flags=1
        5587.2  ANOMALY_FLAG            spot=24 rule=R5_rapid_state_flip cumulative_flags=1
        5598.4  ANOMALY_FLAG            spot=40 rule=R5_rapid_state_flip cumulative_flags=1
        5599.3  ANOMALY_FLAG            spot=342 rule=R5_rapid_state_flip cumulative_flags=1
        5626.2  ANOMALY_FLAG            spot=104 rule=R5_rapid_state_flip cumulative_flags=1
        5631.9  ANOMALY_FLAG            spot=197 rule=R5_rapid_state_flip cumulative_flags=1
        5643.8  ANOMALY_FLAG            spot=344 rule=R5_rapid_state_flip cumulative_flags=1
        5645.8  ANOMALY_FLAG            spot=145 rule=R5_rapid_state_flip cumulative_flags=1
        5648.4  ANOMALY_FLAG            spot=427 rule=R5_rapid_state_flip cumulative_flags=1
        5657.7  ANOMALY_FLAG            spot=392 rule=R5_rapid_state_flip cumulative_flags=1
        5668.0  ANOMALY_FLAG            spot=250 rule=R5_rapid_state_flip cumulative_flags=1
        5691.1  ANOMALY_FLAG            spot=202 rule=R5_rapid_state_flip cumulative_flags=1
        5695.5  ANOMALY_FLAG            spot=264 rule=R5_rapid_state_flip cumulative_flags=1
        5705.8  ANOMALY_FLAG            spot=231 rule=R5_rapid_state_flip cumulative_flags=1
        5713.6  ANOMALY_FLAG            spot=244 rule=R5_rapid_state_flip cumulative_flags=1
        5721.2  ANOMALY_FLAG            spot=301 rule=R5_rapid_state_flip cumulative_flags=1
        5730.6  ANOMALY_FLAG            spot=356 rule=R5_rapid_state_flip cumulative_flags=1
        5735.2  ANOMALY_FLAG            spot=354 rule=R5_rapid_state_flip cumulative_flags=1
        5736.3  ANOMALY_FLAG            spot=258 rule=R5_rapid_state_flip cumulative_flags=1
        5736.4  ANOMALY_FLAG            spot=274 rule=R5_rapid_state_flip cumulative_flags=1
        5741.1  ANOMALY_FLAG            spot=33 rule=R5_rapid_state_flip cumulative_flags=1
        5752.5  ANOMALY_FLAG            spot=433 rule=R5_rapid_state_flip cumulative_flags=1
        5754.6  ANOMALY_FLAG            spot=408 rule=R5_rapid_state_flip cumulative_flags=1
        5760.3  ANOMALY_FLAG            spot=121 rule=R5_rapid_state_flip cumulative_flags=1
        5765.2  ANOMALY_FLAG            spot=479 rule=R5_rapid_state_flip cumulative_flags=1
        5769.2  ANOMALY_FLAG            spot=471 rule=R5_rapid_state_flip cumulative_flags=1
        5769.9  ANOMALY_FLAG            spot=230 rule=R5_rapid_state_flip cumulative_flags=1
        5773.4  ANOMALY_FLAG            spot=78 rule=R5_rapid_state_flip cumulative_flags=1
        5777.0  ANOMALY_FLAG            spot=402 rule=R5_rapid_state_flip cumulative_flags=1
        5786.8  ANOMALY_FLAG            spot=271 rule=R5_rapid_state_flip cumulative_flags=1
        5788.7  ANOMALY_FLAG            spot=55 rule=R5_rapid_state_flip cumulative_flags=1
        5789.1  ANOMALY_FLAG            spot=267 rule=R5_rapid_state_flip cumulative_flags=1
