Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 950
  Anomalies resolved    : 937
  Active at end         : 13
  Affected spots        : 31
  Quarantined at end    : 28
  Quarantine suppressed : 33
  Heartbeats suppressed : 33110
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
         120.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
         150.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
         180.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
         540.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
         630.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
         630.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
         690.0  QUARANTINE_ADD          spot=207 incidents=5 rules=['seq_integrity']
         690.0  QUARANTINE_ADD          spot=320 incidents=9 rules=['seq_integrity']
         690.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
         690.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
         840.0  QUARANTINE_ADD          spot=436 incidents=5 rules=['seq_integrity']
         840.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
         870.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
         900.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
         930.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
         990.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
         990.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        1020.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        1170.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
        1200.0  QUARANTINE_ADD          spot=404 incidents=5 rules=['seq_integrity']
        1200.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        1200.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        1620.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        1800.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        2070.0  QUARANTINE_ADD          spot=124 incidents=9 rules=['seq_integrity']
        2070.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        2280.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        2310.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
        2370.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        2520.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
        2700.0  QUARANTINE_ADD          spot=45 incidents=6 rules=['seq_integrity']
        2700.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        2850.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        2970.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        3210.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
        3240.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
        3270.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        3300.0  ANOMALY_FLAG            spot=436 rule=seq_integrity
        3390.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
        3420.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
        3480.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
        3690.0  QUARANTINE_ADD          spot=176 incidents=5 rules=['seq_integrity']
        3690.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        3690.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
        3690.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        3720.0  QUARANTINE_ADD          spot=184 incidents=5 rules=['seq_integrity']
        3720.0  ANOMALY_FLAG            spot=184 rule=seq_integrity
        3750.0  ANOMALY_FLAG            spot=440 rule=seq_integrity
        3750.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
        3780.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        3840.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        3870.0  QUARANTINE_ADD          spot=142 incidents=7 rules=['seq_integrity']
        3870.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
        3870.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        3930.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        3990.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        4080.0  QUARANTINE_ADD          spot=230 incidents=5 rules=['seq_integrity']
        4080.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        4080.0  ANOMALY_FLAG            spot=230 rule=seq_integrity
        4110.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        4170.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
        4230.0  QUARANTINE_ADD          spot=111 incidents=6 rules=['seq_integrity']
        4230.0  ANOMALY_FLAG            spot=124 rule=rate_outlier
        4230.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        4230.0  ANOMALY_FLAG            spot=404 rule=seq_integrity
        4230.0  ANOMALY_FLAG            spot=111 rule=seq_integrity
        4290.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        4290.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
        4320.0  QUARANTINE_ADD          spot=214 incidents=5 rules=['seq_integrity']
        4320.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        4410.0  ANOMALY_FLAG            spot=234 rule=seq_integrity
        4410.0  ANOMALY_FLAG            spot=142 rule=seq_integrity
        4470.0  ANOMALY_FLAG            spot=153 rule=seq_integrity
        4500.0  ANOMALY_FLAG            spot=45 rule=seq_integrity
        4560.0  ANOMALY_FLAG            spot=214 rule=rate_outlier
        4560.0  ANOMALY_FLAG            spot=214 rule=seq_integrity
        4590.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
        4590.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        4710.0  QUARANTINE_ADD          spot=94 incidents=7 rules=['seq_integrity']
        4710.0  ANOMALY_FLAG            spot=94 rule=seq_integrity
        4740.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        4800.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        4800.0  ANOMALY_FLAG            spot=207 rule=rate_outlier
        5010.0  ANOMALY_FLAG            spot=114 rule=seq_integrity
        5100.0  ANOMALY_FLAG            spot=207 rule=seq_integrity
        5190.0  ANOMALY_FLAG            spot=124 rule=seq_integrity
