Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 906
  Anomalies resolved    : 894
  Active at end         : 12
  Affected spots        : 30
  Quarantined at end    : 29
  Quarantine suppressed : 39
  Heartbeats suppressed : 33207
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
         150.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
         210.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         300.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
         390.0  QUARANTINE_ADD          spot=104 incidents=5 rules=['seq_integrity']
         390.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
         420.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
         570.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
         600.0  QUARANTINE_ADD          spot=322 incidents=7 rules=['seq_integrity']
         600.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
         660.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
         660.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
         720.0  QUARANTINE_ADD          spot=289 incidents=9 rules=['seq_integrity']
         720.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         780.0  QUARANTINE_ADD          spot=224 incidents=5 rules=['seq_integrity']
         780.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
         810.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
         840.0  QUARANTINE_ADD          spot=285 incidents=6 rules=['seq_integrity']
         840.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
         870.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
         930.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
         990.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        1230.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        1260.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        1380.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        1530.0  QUARANTINE_ADD          spot=490 incidents=7 rules=['seq_integrity']
        1530.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        1530.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        1830.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        1890.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        2100.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        2100.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        2100.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        2220.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        2250.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        2370.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        2730.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        2790.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        2850.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        2880.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        2880.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        2940.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        3030.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        3060.0  QUARANTINE_ADD          spot=324 incidents=6 rules=['seq_integrity']
        3060.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        3090.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        3120.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        3270.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        3330.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        3600.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        3750.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        3900.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        3990.0  ANOMALY_FLAG            spot=343 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        4110.0  QUARANTINE_ADD          spot=435 incidents=7 rules=['seq_integrity']
        4110.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        4170.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        4260.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        4260.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        4320.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
        4380.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        4410.0  QUARANTINE_ADD          spot=164 incidents=6 rules=['seq_integrity']
        4410.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4590.0  QUARANTINE_ADD          spot=176 incidents=7 rules=['seq_integrity']
        4590.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
        4590.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        4620.0  ANOMALY_FLAG            spot=409 rule=seq_integrity
        4620.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        4650.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        4920.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
        4950.0  QUARANTINE_ADD          spot=354 incidents=5 rules=['seq_integrity']
        5130.0  QUARANTINE_ADD          spot=376 incidents=6 rules=['seq_integrity']
        5130.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        5130.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        5160.0  QUARANTINE_ADD          spot=258 incidents=5 rules=['seq_integrity']
        5160.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
        5310.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        5340.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5490.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        5490.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        5550.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        5790.0  ANOMALY_FLAG            spot=240 rule=seq_integrity
        5790.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5880.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        6060.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        6120.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
