Scenario Log: A8_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 710
  Anomalies resolved    : 697
  Active at end         : 13
  Affected spots        : 25
  Quarantined at end    : 24
  Quarantine suppressed : 31
  Heartbeats suppressed : 33206
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
          60.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
          90.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         150.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
         270.0  QUARANTINE_ADD          spot=322 incidents=5 rules=['seq_integrity']
         270.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
         390.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
         420.0  QUARANTINE_ADD          spot=104 incidents=7 rules=['seq_integrity']
         420.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
         570.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
         630.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
         720.0  QUARANTINE_ADD          spot=289 incidents=10 rules=['seq_integrity']
         720.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         780.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
         810.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
         840.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
         930.0  QUARANTINE_ADD          spot=224 incidents=7 rules=['seq_integrity']
         930.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        1050.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        1410.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        1440.0  QUARANTINE_ADD          spot=490 incidents=5 rules=['seq_integrity']
        1440.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        1470.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        1650.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        1770.0  QUARANTINE_ADD          spot=285 incidents=5 rules=['seq_integrity']
        1770.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        1770.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        1830.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        1950.0  QUARANTINE_ADD          spot=324 incidents=6 rules=['seq_integrity']
        1950.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        2100.0  ANOMALY_FLAG            spot=322 rule=rate_outlier
        2550.0  ANOMALY_FLAG            spot=109 rule=seq_integrity
        2700.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
        2940.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
        2940.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        2970.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        3210.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        3330.0  QUARANTINE_ADD          spot=164 incidents=5 rules=['seq_integrity']
        3330.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        3510.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        3570.0  QUARANTINE_ADD          spot=435 incidents=5 rules=['seq_integrity']
        3570.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        3630.0  ANOMALY_FLAG            spot=77 rule=seq_integrity
        3690.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        3720.0  ANOMALY_FLAG            spot=285 rule=rate_outlier
        3720.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        3900.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        4020.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        4230.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        4260.0  ANOMALY_FLAG            spot=453 rule=seq_integrity
        4320.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
        4380.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        4410.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4590.0  QUARANTINE_ADD          spot=176 incidents=5 rules=['seq_integrity']
        4590.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        4650.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        4680.0  ANOMALY_FLAG            spot=4 rule=seq_integrity
        4680.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
        4830.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        4950.0  ANOMALY_FLAG            spot=7 rule=seq_integrity
        5040.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        5070.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        5130.0  QUARANTINE_ADD          spot=376 incidents=7 rules=['seq_integrity']
        5130.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        5160.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        5220.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5340.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        5370.0  ANOMALY_FLAG            spot=276 rule=seq_integrity
        5520.0  ANOMALY_FLAG            spot=9 rule=seq_integrity
        5550.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        5640.0  ANOMALY_FLAG            spot=30 rule=seq_integrity
        5730.0  ANOMALY_FLAG            spot=243 rule=seq_integrity
        5790.0  ANOMALY_FLAG            spot=19 rule=seq_integrity
        5940.0  ANOMALY_FLAG            spot=455 rule=seq_integrity
        5970.0  ANOMALY_FLAG            spot=41 rule=seq_integrity
        6030.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        6060.0  ANOMALY_FLAG            spot=463 rule=seq_integrity
        6150.0  ANOMALY_FLAG            spot=304 rule=seq_integrity
        6180.0  ANOMALY_FLAG            spot=288 rule=seq_integrity
        6360.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        6540.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        6660.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
        6840.0  ANOMALY_FLAG            spot=259 rule=seq_integrity
        6870.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        6870.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        6930.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
