Scenario Log: A8_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 10800s
========================================================================

SUMMARY
  Anomalies detected    : 300
  Anomalies resolved    : 187
  Active at end         : 113
  Affected spots        : 155
  Quarantined at end    : 134
  Quarantine suppressed : 16
  Heartbeats suppressed : 4077
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
          60.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
         120.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         150.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
         210.0  QUARANTINE_ADD          spot=104 incidents=5 rules=['seq_integrity']
         210.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
         300.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
         360.0  QUARANTINE_ADD          spot=322 incidents=7 rules=['seq_integrity']
         360.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
         420.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
         630.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
         720.0  QUARANTINE_ADD          spot=289 incidents=8 rules=['seq_integrity']
         720.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
         780.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
         810.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
         810.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
         840.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
        1260.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
        1380.0  QUARANTINE_ADD          spot=224 incidents=9 rules=['seq_integrity']
        1380.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
        1530.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
        1710.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        1830.0  ANOMALY_FLAG            spot=125 rule=silent
        1830.0  ANOMALY_FLAG            spot=362 rule=silent
        1830.0  ANOMALY_FLAG            spot=389 rule=silent
        1830.0  ANOMALY_FLAG            spot=132 rule=silent
        1830.0  ANOMALY_FLAG            spot=317 rule=silent
        1830.0  ANOMALY_FLAG            spot=315 rule=silent
        1830.0  ANOMALY_FLAG            spot=375 rule=silent
        1830.0  ANOMALY_FLAG            spot=254 rule=silent
        1830.0  ANOMALY_FLAG            spot=124 rule=silent
        1830.0  ANOMALY_FLAG            spot=119 rule=silent
        1860.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        1980.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
        2040.0  QUARANTINE_ADD          spot=324 incidents=7 rules=['seq_integrity']
        2040.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
        2040.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
        2100.0  ANOMALY_FLAG            spot=245 rule=silent
        2220.0  ANOMALY_FLAG            spot=104 rule=rate_outlier
        2220.0  ANOMALY_FLAG            spot=382 rule=silent
        2250.0  ANOMALY_FLAG            spot=33 rule=silent
        2310.0  QUARANTINE_ADD          spot=435 incidents=5 rules=['seq_integrity']
        2310.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
        2340.0  ANOMALY_FLAG            spot=499 rule=silent
        2370.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
        2400.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
        2400.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
        2430.0  QUARANTINE_ADD          spot=376 incidents=5 rules=['seq_integrity']
        2460.0  ANOMALY_FLAG            spot=297 rule=silent
        2520.0  ANOMALY_FLAG            spot=295 rule=silent
        2550.0  QUARANTINE_ADD          spot=119 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=125 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=132 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=254 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=317 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=362 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=375 incidents=5 rules=['silent']
        2550.0  QUARANTINE_ADD          spot=389 incidents=5 rules=['silent']
        2550.0  ANOMALY_FLAG            spot=58 rule=silent
        2640.0  ANOMALY_FLAG            spot=75 rule=silent
        2700.0  ANOMALY_FLAG            spot=113 rule=silent
        2790.0  ANOMALY_FLAG            spot=176 rule=silent
        2910.0  ANOMALY_FLAG            spot=213 rule=silent
        2940.0  QUARANTINE_ADD          spot=382 incidents=5 rules=['silent']
        2970.0  QUARANTINE_ADD          spot=33 incidents=5 rules=['silent']
        3060.0  QUARANTINE_ADD          spot=499 incidents=5 rules=['silent']
        3240.0  QUARANTINE_ADD          spot=295 incidents=5 rules=['silent']
        3510.0  QUARANTINE_ADD          spot=176 incidents=5 rules=['silent']
        3630.0  QUARANTINE_ADD          spot=213 incidents=5 rules=['silent']
