Scenario Log: A9_adaptive_edge
Architecture: edge_aggregated   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 0
  Anomalies resolved    : 0
  Active at end         : 0
  Affected spots        : 0
  Quarantined at end    : 0
  Quarantine suppressed : 0
  Heartbeats suppressed : 30630
  Adaptive mode switches: 4

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
         180.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.845 < 90% delta_sent=12 delta_recv=11 agg_interval=5.0→10.0s
         270.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.835 < 90% delta_sent=9 delta_recv=7 agg_interval=10.0→20.0s
         360.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.859 < 90% delta_sent=9 delta_recv=9 agg_interval=20.0→40.0s
         450.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.880 < 90% delta_sent=9 delta_recv=9 agg_interval=40.0→60.0s
         570.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.882 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
         690.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.899 < 90% delta_sent=10 delta_recv=10 agg_interval=60.0→60.0s
         780.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.896 < 90% delta_sent=8 delta_recv=7 agg_interval=60.0→60.0s
        1230.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.868 < 90% delta_sent=9 delta_recv=6 agg_interval=60.0→60.0s
        1350.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.857 < 90% delta_sent=10 delta_recv=8 agg_interval=60.0→60.0s
        1470.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.879 < 90% delta_sent=10 delta_recv=10 agg_interval=60.0→60.0s
        1590.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.897 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
        1710.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.882 < 90% delta_sent=10 delta_recv=8 agg_interval=60.0→60.0s
        1800.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.863 < 90% delta_sent=8 delta_recv=6 agg_interval=60.0→60.0s
        1950.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.883 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
        2190.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.899 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        2310.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.897 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        2430.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.879 < 90% delta_sent=9 delta_recv=7 agg_interval=60.0→60.0s
        2550.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.881 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        2670.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.865 < 90% delta_sent=9 delta_recv=7 agg_interval=60.0→60.0s
        2790.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.886 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
        2910.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.865 < 90% delta_sent=8 delta_recv=6 agg_interval=60.0→60.0s
        3030.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.885 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
        3150.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.865 < 90% delta_sent=8 delta_recv=6 agg_interval=60.0→60.0s
        3270.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.885 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
        3390.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.886 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        3570.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.886 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        3690.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.887 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        3810.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.889 < 90% delta_sent=10 delta_recv=9 agg_interval=60.0→60.0s
        3900.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.812 < 90% delta_sent=8 delta_recv=3 agg_interval=60.0→60.0s
        4020.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.823 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
        4110.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.831 < 90% delta_sent=8 delta_recv=7 agg_interval=60.0→60.0s
        4230.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.826 < 90% delta_sent=10 delta_recv=8 agg_interval=60.0→60.0s
        4320.0  MODE_SWITCH             aggregated→filtered backhaul_window_DR=0.796 < 90% delta_sent=8 delta_recv=5 agg_interval=60.0→60.0s
       12600.0  MODE_SWITCH             filtered→aggregated backhaul_window_DR=0.929 >= 92% delta_sent=20 delta_recv=20
       12810.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.888 < 90% delta_sent=10 delta_recv=7 agg_interval=5.0→10.0s
       13080.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.881 < 90% delta_sent=9 delta_recv=6 agg_interval=10.0→20.0s
       13200.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.862 < 90% delta_sent=8 delta_recv=6 agg_interval=20.0→40.0s
       13350.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.882 < 90% delta_sent=9 delta_recv=9 agg_interval=40.0→60.0s
       13500.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.881 < 90% delta_sent=8 delta_recv=7 agg_interval=60.0→60.0s
       13590.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.899 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
       13980.0  AGG_WINDOW_DECREASE     DR=0.922 healthy, agg_interval=60.0→30.0s
       14220.0  AGG_WINDOW_DECREASE     DR=0.928 healthy, agg_interval=30.0→15.0s
