Scenario Log: B1_mqtt_qos0
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 43200s
========================================================================

SUMMARY
  Anomalies detected    : 5158
  Anomalies resolved    : 4765
  Active at end         : 393
  Affected spots        : 495
  Quarantined at end    : 196
  Quarantine suppressed : 22
  Heartbeats suppressed : 329877
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
          43.2  ANOMALY_FLAG            spot=396 rule=R3_rapid_arrival cumulative_flags=1
         120.9  ANOMALY_FLAG            spot=369 rule=R3_rapid_arrival cumulative_flags=1
         132.5  ANOMALY_FLAG            spot=100 rule=R3_rapid_arrival cumulative_flags=1
         139.6  ANOMALY_FLAG            spot=17 rule=R3_rapid_arrival cumulative_flags=1
         511.8  ANOMALY_FLAG            spot=309 rule=R3_rapid_arrival cumulative_flags=1
         744.6  ANOMALY_FLAG            spot=338 rule=R3_rapid_arrival cumulative_flags=1
         798.0  ANOMALY_RESOLVE         spot=396 rule=R3_rapid_arrival
         810.5  ANOMALY_RESOLVE         spot=100 rule=R3_rapid_arrival
         854.5  ANOMALY_RESOLVE         spot=369 rule=R3_rapid_arrival
         931.1  ANOMALY_FLAG            spot=463 rule=R3_rapid_arrival cumulative_flags=1
         958.4  ANOMALY_FLAG            spot=432 rule=R3_rapid_arrival cumulative_flags=1
        1091.7  ANOMALY_FLAG            spot=235 rule=R3_rapid_arrival cumulative_flags=1
        1162.8  ANOMALY_FLAG            spot=451 rule=R3_rapid_arrival cumulative_flags=1
        1203.4  ANOMALY_FLAG            spot=227 rule=R3_rapid_arrival cumulative_flags=1
        1248.8  ANOMALY_RESOLVE         spot=432 rule=R3_rapid_arrival
        1517.5  ANOMALY_FLAG            spot=466 rule=R3_rapid_arrival cumulative_flags=1
        1522.7  ANOMALY_RESOLVE         spot=17 rule=R3_rapid_arrival
        1672.9  ANOMALY_FLAG            spot=21 rule=R3_rapid_arrival cumulative_flags=1
        1722.9  ANOMALY_RESOLVE         spot=463 rule=R3_rapid_arrival
        1737.3  ANOMALY_FLAG            spot=389 rule=R3_rapid_arrival cumulative_flags=1
        1914.6  ANOMALY_FLAG            spot=476 rule=R3_rapid_arrival cumulative_flags=1
        1928.0  ANOMALY_FLAG            spot=171 rule=R3_rapid_arrival cumulative_flags=1
        1982.7  ANOMALY_FLAG            spot=383 rule=R3_rapid_arrival cumulative_flags=1
        2014.1  ANOMALY_RESOLVE         spot=466 rule=R3_rapid_arrival
        2054.6  ANOMALY_FLAG            spot=84 rule=R3_rapid_arrival cumulative_flags=1
        2128.6  ANOMALY_FLAG            spot=151 rule=R3_rapid_arrival cumulative_flags=1
        2150.8  ANOMALY_RESOLVE         spot=389 rule=R3_rapid_arrival
        2373.7  ANOMALY_RESOLVE         spot=383 rule=R3_rapid_arrival
        2388.5  ANOMALY_RESOLVE         spot=171 rule=R3_rapid_arrival
        2557.1  ANOMALY_RESOLVE         spot=476 rule=R3_rapid_arrival
        2591.8  ANOMALY_RESOLVE         spot=451 rule=R3_rapid_arrival
        2723.0  ANOMALY_FLAG            spot=446 rule=R3_rapid_arrival cumulative_flags=1
        2782.4  ANOMALY_FLAG            spot=294 rule=R3_rapid_arrival cumulative_flags=1
        2859.7  ANOMALY_FLAG            spot=355 rule=R3_rapid_arrival cumulative_flags=1
        2866.5  ANOMALY_RESOLVE         spot=309 rule=R3_rapid_arrival
        2878.7  ANOMALY_FLAG            spot=247 rule=R5_rapid_state_flip cumulative_flags=1
        2889.3  ANOMALY_FLAG            spot=437 rule=R3_rapid_arrival cumulative_flags=1
        2920.2  ANOMALY_FLAG            spot=110 rule=R3_rapid_arrival cumulative_flags=1
        2987.3  ANOMALY_RESOLVE         spot=227 rule=R3_rapid_arrival
        3137.3  ANOMALY_FLAG            spot=328 rule=R3_rapid_arrival cumulative_flags=1
        3138.1  ANOMALY_FLAG            spot=229 rule=R3_rapid_arrival cumulative_flags=1
        3151.5  ANOMALY_FLAG            spot=180 rule=R3_rapid_arrival cumulative_flags=1
        3263.6  ANOMALY_FLAG            spot=323 rule=R3_rapid_arrival cumulative_flags=1
        3306.7  ANOMALY_FLAG            spot=357 rule=R3_rapid_arrival cumulative_flags=1
        3447.8  ANOMALY_FLAG            spot=462 rule=R3_rapid_arrival cumulative_flags=1
        3482.8  ANOMALY_FLAG            spot=332 rule=R3_rapid_arrival cumulative_flags=1
        3528.9  ANOMALY_FLAG            spot=327 rule=R3_rapid_arrival cumulative_flags=1
        3576.5  ANOMALY_RESOLVE         spot=247 rule=R5_rapid_state_flip
        3641.9  ANOMALY_FLAG            spot=365 rule=R3_rapid_arrival cumulative_flags=1
        3683.2  ANOMALY_FLAG            spot=120 rule=R3_rapid_arrival cumulative_flags=1
        3698.9  ANOMALY_FLAG            spot=227 rule=R3_rapid_arrival cumulative_flags=2
        3708.6  ANOMALY_FLAG            spot=435 rule=R3_rapid_arrival cumulative_flags=1
        3727.5  ANOMALY_FLAG            spot=59 rule=R3_rapid_arrival cumulative_flags=1
        3752.1  ANOMALY_RESOLVE         spot=323 rule=R3_rapid_arrival
        3787.7  ANOMALY_FLAG            spot=248 rule=R3_rapid_arrival cumulative_flags=1
        3900.5  ANOMALY_FLAG            spot=315 rule=R3_rapid_arrival cumulative_flags=1
        3959.2  ANOMALY_FLAG            spot=465 rule=R3_rapid_arrival cumulative_flags=1
        3965.9  ANOMALY_RESOLVE         spot=120 rule=R3_rapid_arrival
        3987.3  ANOMALY_RESOLVE         spot=151 rule=R3_rapid_arrival
        4139.7  ANOMALY_RESOLVE         spot=235 rule=R3_rapid_arrival
        4139.7  ANOMALY_FLAG            spot=235 rule=R3_rapid_arrival cumulative_flags=2
        4140.1  ANOMALY_RESOLVE         spot=21 rule=R3_rapid_arrival
        4208.2  ANOMALY_FLAG            spot=461 rule=R3_rapid_arrival cumulative_flags=1
        4210.0  ANOMALY_FLAG            spot=16 rule=R3_rapid_arrival cumulative_flags=1
        4232.1  ANOMALY_FLAG            spot=376 rule=R3_rapid_arrival cumulative_flags=1
        4273.4  ANOMALY_FLAG            spot=316 rule=R3_rapid_arrival cumulative_flags=1
        4274.8  ANOMALY_FLAG            spot=329 rule=R3_rapid_arrival cumulative_flags=1
        4286.1  ANOMALY_RESOLVE         spot=332 rule=R3_rapid_arrival
        4307.1  ANOMALY_RESOLVE         spot=446 rule=R3_rapid_arrival
        4346.2  ANOMALY_RESOLVE         spot=294 rule=R3_rapid_arrival
        4362.7  ANOMALY_FLAG            spot=454 rule=R3_rapid_arrival cumulative_flags=1
        4399.2  ANOMALY_FLAG            spot=161 rule=R3_rapid_arrival cumulative_flags=1
        4409.1  ANOMALY_FLAG            spot=78 rule=R3_rapid_arrival cumulative_flags=1
        4419.7  ANOMALY_RESOLVE         spot=180 rule=R3_rapid_arrival
        4434.9  ANOMALY_RESOLVE         spot=248 rule=R3_rapid_arrival
        4463.6  ANOMALY_FLAG            spot=220 rule=R3_rapid_arrival cumulative_flags=1
        4481.2  ANOMALY_RESOLVE         spot=110 rule=R3_rapid_arrival
        4486.1  ANOMALY_FLAG            spot=205 rule=R3_rapid_arrival cumulative_flags=1
        4516.3  ANOMALY_RESOLVE         spot=327 rule=R3_rapid_arrival
        4529.4  ANOMALY_FLAG            spot=253 rule=R5_rapid_state_flip cumulative_flags=1
        4558.8  ANOMALY_RESOLVE         spot=316 rule=R3_rapid_arrival
        4567.7  ANOMALY_FLAG            spot=316 rule=R5_rapid_state_flip cumulative_flags=2
