Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 10800s
========================================================================

SUMMARY
  Anomalies detected    : 4439
  Anomalies resolved    : 4313
  Active at end         : 126
  Affected spots        : 500
  Quarantined at end    : 107
  Quarantine suppressed : 9
  Heartbeats suppressed : 4182
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
         630.0  ANOMALY_FLAG            spot=71 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=106 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=5 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=84 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=117 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=29 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=275 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=221 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=259 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=374 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=10 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=239 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=445 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=164 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=434 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=273 rule=R2_silent_sensor cumulative_flags=1
         630.0  ANOMALY_FLAG            spot=145 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_RESOLVE         spot=259 rule=R2_silent_sensor
         660.0  ANOMALY_FLAG            spot=403 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=424 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=230 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=498 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=394 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=203 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=428 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=270 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=46 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=173 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=183 rule=R2_silent_sensor cumulative_flags=1
         660.0  ANOMALY_FLAG            spot=467 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_RESOLVE         spot=164 rule=R2_silent_sensor
         690.0  ANOMALY_RESOLVE         spot=173 rule=R2_silent_sensor
         690.0  ANOMALY_FLAG            spot=115 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=490 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=291 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=73 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=418 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=199 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=325 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=104 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=168 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=197 rule=R2_silent_sensor cumulative_flags=1
         690.0  ANOMALY_FLAG            spot=17 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=266 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=368 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=137 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=74 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=251 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=478 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=113 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=54 rule=R2_silent_sensor cumulative_flags=1
         720.0  ANOMALY_FLAG            spot=318 rule=R2_silent_sensor cumulative_flags=1
