scenario,protocol,architecture,traffic_level,num_spots,sim_duration_s,access_loss,backhaul_loss,agg_interval_s,mqtt_qos,coap_mode,amqp_exchange,amqp_ack,amqp_durable,heartbeat_interval_s,n_runs,seeds,metric,mean,std,ci95_low,ci95_high,ci95_halfwidth
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_mean_ms,80.736,0.419142,80.21565,81.25635,0.52035
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p50_ms,80.816,0.516072,80.175315,81.456685,0.640685
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p95_ms,130.022,1.367542,128.324245,131.719755,1.697755
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p99_ms,149.986,2.962605,146.308029,153.663971,3.677971
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,e2e_unique_delivery_ratio,0.9389,0.002351,0.935982,0.941818,0.002918
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,cloud_reflection_ratio,0.9896,0.003847,0.984824,0.994376,0.004776
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,physical_delivery_ratio,0.94868,0.00249,0.945588,0.951772,0.003092
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,backhaul_delivery_ratio,,,,,
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,message_reduction_ratio,,,,,
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,aggregation_ratio,,,,,
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_bytes_sent,1727132.2,23145.115342,1698398.350745,1755866.049255,28733.849255
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_sent,,,,,
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_delivered,,,,,
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_e2c_sent,,,,,
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_s2e_sent,184485.0,1958.904668,182053.088531,186916.911469,2431.911469
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_retransmissions,0.0,0.0,0.0,0.0,0.0
A1_cloud_only,mqtt,cloud_only,peak,500,10800.0,0.05,0.02,1.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_duplicate_deliveries,0.0,0.0,0.0,0.0,0.0
